"English Title","China Runtime","Converted Runtime","China Release"
"The Fate of the Furious",02:15:58,135,"4/14/17"
"Escape Plan 2: Hades",01:28:56,88,"6/29/18"
"Guardians of the Galaxy 2",02:10:15,130,5/17/05
"Justice League",01:55:11,115,"11/17/17"
"Lady Bird",01:32:28,92,"null"
"Despicable Me 3",01:29:49,89,7/17/07
"Transformers: The Last Knight",02:29:56,149,"6/23/17"
"Cars 3",01:38:17,98,"6/16/17"
"Palace of the Damned",01:22:53,82,"11/17/17"
"Pacific Rim: Uprising",01:50:59,110,"3/23/18"
"Suicide Squad",02:02:49,122,
"The 15:17 to Paris",01:29:58,89,
"Planet of the Sharks",01:29:28,89,
"Zootopia",01:44:09,104,4/16/03
"O Panda do Kung Fu 3",01:35:18,95,"1/29/16"
"13 Hours",02:18:32,138,
"The BFG",01:57:13,117,"10/14/16"
"The Thinning",01:21:45,81,
"The Secret Life of Pets",01:26:26,86,2/16/08
"Doctor Strange",01:50:16,110,4/16/11
"Spoof: Based on a True Movie",01:13:36,73,"null"
"Assassin's Creed",01:55:28,115,"2/24/17"
"A Monster Calls",01:48:20,108,"5/19/17"
"626 Evolution",01:18:21,78,"null"
"Point Break",01:53:27,113,4/15/12
"Billy Lynn's Long Halftime Walk",01:52:47,112,11/16/11
"Home",01:33:44,93,"4/24/15"
"The Legend of Wasco",01:19:28,79,"null"
"Game Night",01:35:56,95,"null"
"Patriot's Day",02:11:18,131,"11/17/17"
"Get Out",01:43:56,103,
"Triple 9",01:37:22,97,"8/27/16"
"Sully",01:35:50,95,9/16/12
"Ghost in the Shell",01:42:41,102,7/17/04
"San Andreas",01:54:25,114,2/15/06
"The Mummy",01:46:23,106,9/17/06
"Blood, Sand and Gold",01:28:14,88,"null"
"Minions",01:30:59,90,"9/13/15"
"The Commuter",01:44:35,104,"3/30/18"
"Jumanji: Welcome to the Jungle",01:54:12,114,12/18/01
"Monster Trucks",01:40:29,100,
"Alice Through the Looking Glass",01:48:23,108,"5/27/16"
"Flight World War II",01:25:12,85,
"Penguins of Madagascar",01:28:13,88,"11/14/14"
"Jason Bourne",02:03:24,123,"8/23/16"
"Last Flight",01:21:46,81,"3/21/14"
"Pete's Dragon",01:38:28,98,
"Lego DC Comics Super Heroes: The Flash",01:15:10,75,"null"
"Inside Out",01:31:01,91,6/15/10
"Knowing",02:01:29,121,"10/30/09"
"Star Trek Beyond",01:57:37,117,2/16/09
"In the Heart of the Sea",02:01:39,121,
"The Avengers : Age of Ultron",02:15:24,135,12/15/05
"Union Bound",01:43:35,103,"null"
"Scouts Guide to the Zombie Apocalypse",01:27:10,87,
"The Florida Project",01:49:12,109,"null"
"This Beautiful Fantastic",01:27:53,87,
"Bushwick",01:31:21,91,"null"
"The Machinist",01:31:16,91,2/12/08
"Brave New Jersey",01:31:25,91,"null"
"Big Hero 6",01:37:37,97,"2/28/15"
"The Other Barrio",01:30:46,90,"null"
"Hidden",01:23:10,83,
"Arsenal",01:35:41,95,
"Central Intelligence",01:47:32,107,
"Avatar",02:58:09,178,4/10/01
"Transformers: Rise of Galvatron",02:38:52,158,"6/27/14"
"Sky Ladder: The Art of Cai Guo-Qiang",01:10:16,70,"9/22/17"
"The Expendables",01:42:03,102,"8/20/10"
"Guardians of the Galaxy",01:55:33,115,10/14/10
"Flipped",01:29:45,89,
"Daylight's End",01:45:17,105,
"Taco Shop",01:15:27,75,"null"
"The Forbidden Kingdom",01:44:26,104,"4/24/08"
"Tangled",01:36:14,96,
"Pitch Perfect 3",01:33:02,93,
"Nearly Married",01:40:36,100,"null"
"Virtual Revolution",01:31:04,91,
"Jupiter Ascending",02:07:30,127,6/15/03
"Need for Speed",02:04:46,124,"3/14/14"
"A Girl & Inheritance",01:31:39,91,"null"
"The Conjuring",01:51:57,111,
"The 33",02:06:03,126,4/16/03
"The Masterpiece",01:37:38,97,
"Ex Machina",01:42:36,102,
"The Equalizer",02:12:03,132,
"G.I. Joe: Retaliation",02:02:59,122,"4/15/13"
"Ghost Rider: Spirit of Vengeance",01:35:24,95,"4/20/12"
"Age of Ice",01:24:51,84,
"Up",01:36:44,96,4/9/08
"Orphan",02:02:24,122,
"Edge of Tomorrow",01:53:29,113,6/14/06
"Shark Chan vs. Ika Musume",01:28:15,88,
"Hotel Transylvania",01:31:19,91,1/13/11
"Justice League: Throne of Atlantis",01:12:06,72,
"Keanu",01:38:43,98,
"Iron Man",02:06:01,126,"4/30/08"
"The Grand Budapest Hotel",01:35:30,95,
"San Andreas Quake",01:23:58,83,
"Lego DC Comics Super Heroes: Justice League Gotham City Breakout",01:18:22,78,
"Real Steel",02:06:50,126,8/11/11
"Skyline",01:33:49,93,3/11/06
"The Mummy: Tomb of the Dragon Emperor",01:51:18,111,2/8/09
"Zombieland",01:27:42,87,
"Transformers: Dark of the Moon",02:34:23,154,"7/21/11"
"Navy SEALs vs. Zombies",01:35:14,95,8/15/10
"The Dallas Buyer's Club",01:56:47,116,
"Sharknado 2: The Second One",01:34:05,94,
"The Adventures of Tintin: The Secret of the Unicorn",01:46:52,106,"11/15/11"
"The Hunger Games: Mockingjay - Part 1",02:02:42,122,8/15/02
"Strange Magic",01:35:11,95,
"Big Ass Spider",01:17:17,77,
"300: Rise of an Empire",01:35:52,95,
"Pacific Rim",02:11:17,131,"7/31/13"
"The Boat That Rocked",02:13:55,133,
"The Dark Knight Rises",02:44:33,164,"8/27/12"
"Harry Potter and the Deathly Hallows: Part 2",02:10:27,130,4/11/08
"When the Bough Breaks",01:42:22,102,9/16/09
"Night at the Museum: Secret of the Tomb",01:37:49,97,4/15/01
"Lego friends:girlz 4 life",01:19:39,79,
"The Guilty Innocent",01:22:57,82,
"Iron Man 2",02:04:38,124,
"Transformers: Revenge of the Fallen",02:30:25,150,"6/24/09"
"Captain America: The First Avenger",01:57:52,117,9/11/09
"100 Million BC",01:25:12,85,"5/22/08"
"Divergent",02:19:38,139,8/14/09
"Addicted",01:39:23,99,
"Toy Story 3",01:42:33,102,"6/16/10"
