Title,China Runtime,Converted,China Release Date,Budget,Genres,Original Language,Production Company,Global Release Date,Revenue,Global Runtime,Difference
All Quiet on the Western Front,02:09:46,129,,1250000,Drama  ;War ;,en,Universal Pictures,04/29/30,0,133,-4
The Devil to Pay!,01:12:43,72,,0,Comedy ;Romance ;,en,Samuel Goldwyn Company ;The ;,12/20/30,0,72,0
City Lights,01:25:46,85,1/30/31,1500000,Comedy ;Drama ;Romance ;,en,Charles Chaplin Productions ;,01/30/31,19181,87,-2
Tarzan the Ape Man,01:40:06,100,,0,Action ;Adventure ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,04/02/32,0,100,0
Grand Hotel,01:52:20,112,,700000,Drama ;Romance ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,05/25/32,2594000,112,0
Dinner at Eight,01:46:23,106,,0,Comedy ;Drama ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,08/29/33,0,111,-5
It Happened One Night,01:45:03,105,,325000,Comedy ;Romance ;,en,Columbia Pictures Corporation ;,02/22/34,4500000,105,0
Tarzan and His Mate,01:41:12,101,,95,Drama ;Adventure ;Action ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,04/20/34,0,100,1
Randy Rides Alone,52:19:00,52,,0,Action ;Western ;,en,Lone Star Production ;,06/05/34,0,53,-1
Baby Take a Bow,01:14:11,74,,0,Drama ;Family ;,en,,06/30/34,0,76,-2
The Lawless Frontier,49:49:00,49,,0,Action ;Western ;,en,Lone Star Production ;Monogram Pictures ;,11/22/34,0,59,-10
Bright Eyes,01:24:38,84,,0,Drama ;Family ;Music ;,en,Fox Film Corporation ;,12/28/34,0,85,-1
Our Little Girl,01:04:37,64,,0,Comedy ;Drama ;Family ;,en,,01/01/35,0,65,-1
The Little Colonel,01:21:14,81,,0,Drama ;Family ;,en,,02/22/35,0,80,1
She,01:45:06,105,,0,Adventure ;Fantasy ;,en,RKO Radio Pictures ;,06/12/35,0,101,4
Westward Ho,58:27:00,58,,0,Drama ;History ;Western ;,en,Paul Malvern Productions ;,08/19/35,0,61,-3
Anna Karenina,01:43:24,103,,1152000,Drama ;Romance ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,08/30/35,1439000,95,8
The Littlest Rebel,01:13:35,73,,0,Comedy ;Drama ;Family ;War ;,en,Twentieth Century Fox Film Corporation ;,11/22/35,0,70,3
I Dream Too Much,01:32:59,92,null,0,Romance ;Comedy ;,en,RKO Radio Pictures ;,11/29/35,0,97,-5
A Tale of Two Cities,02:04:31,124,12/25/35,0,Action; Drama,en,Metro-Goldwyn-Mayer (MGM),12/25/35,0,128,-4
Chatterbox,01:20:54,80,8/7/09,0,Comedy ;,en,RKO Radio Pictures ;,01/17/36,0,68,12
Modern Times,01:26:52,86,,1,Drama ;Comedy ;,en,United Artists ;Charles Chaplin Productions ;,02/05/36,8500000,87,-1
The Prisoner of Shark Island,01:31:15,91,1/1/36,0,Drama ;History ;,en,Twentieth Century Fox Film Corporation ;Darryl F ;Zanuck Productions ;,02/28/36,0,96,-5
Mr. Deeds Goes to Town,01:55:31,115,4/12/36,0,Comedy ;Drama ;Romance ;,en,Columbia Pictures ;,04/12/36,0,115,0
Winds of the Wasteland,53:55:00,53,1/1/36,0,Action ;Adventure ;Drama ;Western ;,en,Republic Pictures ;,07/06/36,0,54,-1
Poor Little Rich Girl,01:19:20,79,,0,Adventure ;Family ;Music ;,en,Twentieth Century Fox Film Corporation ;,07/24/36,0,79,0
Romeo and Juliet,01:55:12,115,,0,Drama ;Romance ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,09/03/36,0,125,-10
Dodsworth,01:39:22,99,,0,Drama ;Romance ;,en,Samuel Goldwyn Company ;The ;,09/23/36,0,101,-2
Dimples,01:18:33,78,,0,Drama ;Family ;,en,Twentieth Century Fox Film Corporation ;,10/08/36,0,79,-1
Libeled Lady,01:34:13,94,,0,Comedy ;Romance ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,10/09/36,0,98,-4
Come and Get It,01:38:54,98,,0,Drama ;Romance ;,en,Howard Productions ;,11/06/36,0,99,-1
Tarzan Escapes,01:29:21,89,,0,Action ;Adventure ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,11/06/36,0,89,0
Shall We Dance,01:46:22,106,,0,Comedy ;Music ;Romance ;,en,RKO Radio Pictures ;,05/07/37,0,109,-3
Wee Willie Winkie,01:39:38,99,,0,Adventure ;Family ;,en,Twentieth Century Fox Film Corporation ;,07/30/37,0,100,-1
Camille,01:48:36,108,,0,Drama ;Romance ;,en,,08/25/37,,109,-1
Heidi,01:28:03,88,,0,Drama ;Family ; Music,en,Twentieth Century Fox Film Corporation,10/15/37,0,88,0
Snow White and the Seven Dwarfs,01:19:43,79,,1488423,Fantasy ;Animation ;Family ;,en,Walt Disney Productions ;,12/20/37,184925486,83,-4
